open,high,low,close,volume,quote_volume,trades,close_datetime
96466.11,96495.52,96440.0,96440.0,6.6158,638250.2950308,3577,2024-12-01 00:00:59.999000+01:00
96440.01,96454.62,96422.0,96454.62,7.0222,677202.9744168,2318,2024-12-01 00:01:59.999000+01:00
96454.62,96536.0,96454.61,96528.0,8.55144,825302.2455001,5554,2024-12-01 00:02:59.999000+01:00
96528.0,96555.56,96528.0,96536.01,13.69845,1322533.5753853,5167,2024-12-01 00:03:59.999000+01:00
96536.0,96544.0,96504.0,96543.99,3.78218,365056.6666583,2707,2024-12-01 00:04:59.999000+01:00
96543.99,96555.56,96520.0,96522.05,6.96507,672415.9906725,3666,2024-12-01 00:05:59.999000+01:00
96522.06,96575.3,96522.06,96562.17,6.88048,664334.7693672,2815,2024-12-01 00:06:59.999000+01:00
96562.16,96575.29,96556.0,96562.51,4.42759,427563.6270947,1234,2024-12-01 00:07:59.999000+01:00
96562.51,96580.0,96562.51,96579.99,2.18525,211037.8535504,783,2024-12-01 00:08:59.999000+01:00
96580.0,96592.0,96523.71,96535.73,7.45492,719835.1787995,2686,2024-12-01 00:09:59.999000+01:00
96535.74,96550.37,96516.0,96516.01,4.35864,420740.0794879,1686,2024-12-01 00:10:59.999000+01:00
96516.0,96540.0,96516.0,96530.76,3.71832,358910.4708033,911,2024-12-01 00:11:59.999000+01:00
96530.76,96541.36,96529.88,96529.89,2.83121,273316.7769109,867,2024-12-01 00:12:59.999000+01:00
96529.88,96529.89,96420.0,96468.0,7.19193,693738.0283424,5756,2024-12-01 00:13:59.999000+01:00
96468.0,96476.0,96432.0,96449.83,7.60347,733404.6419189,2841,2024-12-01 00:14:59.999000+01:00
96449.83,96468.0,96433.74,96446.22,5.08863,490765.2794782,2660,2024-12-01 00:15:59.999000+01:00
96446.21,96459.31,96428.0,96434.66,10.26229,989642.776278,2893,2024-12-01 00:16:59.999000+01:00
96434.67,96455.87,96430.84,96430.84,7.02918,677907.4266955,1497,2024-12-01 00:17:59.999000+01:00
96430.84,96440.0,96412.66,96440.0,4.42004,426206.3196255,1608,2024-12-01 00:18:59.999000+01:00
96439.99,96469.34,96439.99,96441.91,8.03629,775107.0397288,2030,2024-12-01 00:19:59.999000+01:00
96441.91,96441.91,96403.66,96429.7,8.2508,795527.480703,3361,2024-12-01 00:20:59.999000+01:00
96429.7,96446.67,96416.41,96416.41,7.61735,734572.2706712,2258,2024-12-01 00:21:59.999000+01:00
96416.41,96428.26,96409.47,96409.48,4.48851,432781.7947756,2730,2024-12-01 00:22:59.999000+01:00
96409.48,96416.45,96400.01,96400.02,6.01417,579804.9057154,2378,2024-12-01 00:23:59.999000+01:00
96400.01,96400.02,96335.06,96335.07,13.16041,1268191.3800668,2428,2024-12-01 00:24:59.999000+01:00
